url,base_domain,top_level_domain,branch,agency,bureau,source_list_federal_domains,source_list_dap,source_list_pulse,source_list_omb_idea,source_list_eotw,source_list_usagov,source_list_gov_man,source_list_uscourts,source_list_oira,source_list_other,source_list_mil_1,source_list_mil_2,omb_idea_public
https://www.stopbullying.gov/blog/research-brief-low-socioeconomic-status-contributes-bullying-risk,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/blog/2013/07/01/bullying-and-body-image,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/blog/2012/08/08/empowering-young-people-to-build-a-kinder-braver-world,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/resources/laws/nevada,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/resources/laws/nebraska,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/resources/laws/south-dakota,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/resources/laws/north-dakota,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/blog/tags/educators,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/kids/kid-videos/cast-brick,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/resources/laws/maine,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/blog/2020/08/14/civil-behavior-can-help-prevent-cyberbullying,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/resources/research-resources/digital-citizenship-skills,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/blog/2014/09/16/take-action-today-how-families-and-students-can-take-lead-creating-safer-school,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/blog/2021/07/29/preventing-cyberbullying-age-smart-phones,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/blog/2018/11/05/preventing-weight-based-bullying,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/blog/2019/10/25/effects-bullying-mental-health,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/resources/research-resources/how-youth-can-protect-themselves,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/blog/2014/02/10/what-bullying-new-uniform-definition-research,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/kids/kid-videos/yes-thats-bullying,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/blog/2014/01/14/teen-uses-theater-deliver-bullying-prevention-message,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/blog/2013/05/08/national-4-h-conference-teens-tackle-bullying-issue,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/blog/2017/09/14/new-cdc-resource-can-help-states-and-communities-prevent-suicide-among-youth,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/blog/tags/resources,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/resources/research-resources/bullying-as-an-ace,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/blog/tags/research,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/resources/laws/oregon,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/prevention/at-school,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/blog/2021/04/22/return-in-person-classes,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
